RSFST09004 	 居酒屋
RSFST02001 	 懐石料理
RSFST02002 	 会席料理
RSFST02003 	 割烹
RSFST02004 	 小料理
RSFST06007 	 すき焼き
RSFST06008 	 しゃぶしゃぶ
RSFST02005 	 沖縄料理
RSFST02006 	 郷土料理
RSFST02007 	 ほうとう
RSFST02008 	 きりたんぽ鍋
RSFST02009 	 釜飯
RSFST02010 	 京料理
RSFST02011 	 おばんざい
RSFST02012 	 精進料理
RSFST02014 	 料亭
RSFST03001 	 寿司
RSFST03002 	 回転寿司
RSFST03014 	 海鮮丼
RSFST03003 	 刺身
RSFST03003 	 海鮮料理
RSFST03004 	 かに料理
RSFST03005 	 ふぐ料理
RSFST03005 	 てっちり
RSFST03006 	 すっぽん料理
RSFST03007 	 うなぎ
RSFST03008 	 どじょう料理
RSFST03009 	 はも料理
RSFST03010 	 シーフード料理
RSFST03015 	 牡蠣料理
RSFST03011 	 オイスターバー
RSFST03012 	 鯨料理
RSFST03016 	 あなご料理
RSFST03013 	 すし
RSFST03013 	 魚料理
RSFST04001 	 鍋料理
RSFST04002 	 ちゃんこ鍋
RSFST04003 	 水炊き
RSFST04004 	 もつ鍋
RSFST04005 	 火鍋
RSFST04007 	 鍋
RSFST05001 	 焼肉
RSFST05004 	 サムギョプサル
RSFST05002 	 ホルモン
RSFST05003 	 ジンギスカン
RSFST06001 	 牛タン
RSFST06002 	 串揚げ
RSFST06003 	 焼き鳥
RSFST06004 	 鶏料理
RSFST06005 	 炉端焼き
RSFST06005 	 炭火焼き
RSFST06006 	 鉄板焼き
RSFST06009 	 ステーキ
RSFST06010 	 ハンバーグ
RSFST06012 	 串焼き
RSFST06013 	 豚肉料理
RSFST06014 	 馬肉料理
RSFST06015 	 串カツ 
RSFST06017 	 もつ焼き
RSFST06018 	 鴨料理
RSFST06016 	 焼き鳥
RSFST06016 	 肉料理
RSFST06016 	 串料理
RSFST01001 	 定食
RSFST01001 	 食事処
RSFST01002 	 家庭料理
RSFST01003 	 おでん
RSFST01004 	 天ぷら
RSFST01005 	 とんかつ
RSFST01006 	 丼物
RSFST01007 	 親子丼
RSFST01008 	 牛丼
RSFST01009 	 天丼
RSFST01010 	 カツ丼
RSFST01011 	 豆腐料理
RSFST01012 	 湯豆腐
RSFST02013 	 湯葉料理
RSFST01013 	 弁当屋
RSFST01015 	 和食
RSFST07001 	 お好み焼き
RSFST07002 	 広島風お好み焼き
RSFST07003 	 もんじゃ焼き
RSFST07004 	 たこ焼き
RSFST07005 	 明石焼き
RSFST07006 	 焼きそば
RSFST07008 	 お好み焼き
RSFST07008 	 粉物
RSFST08001 	 そば
RSFST08002 	 うどん
RSFST08003 	 讃岐うどん
RSFST08004 	 カレーうどん
RSFST08005 	 ちゃんぽん
RSFST08006 	 沖縄そば
RSFST08007 	 冷麺
RSFST08008 	 ラーメン
RSFST08009 	 つけ麺
RSFST08012 	 担々麺
RSFST08013 	 刀削麺
RSFST08011 	 ラーメン
RSFST08011 	 麺料理
RSFST14001 	 広東料理
RSFST14002 	 北京料理
RSFST14003 	 四川料理
RSFST14004 	 上海料理
RSFST14005 	 台湾料理
RSFST14006 	 香港料理
RSFST14007 	 中華料理
RSFST14008 	 餃子
RSFST14009 	 飲茶
RSFST14009 	 点心
RSFST14010 	 チャーハン
RSFST14011 	 中華
RSFST11001 	 フレンチ
RSFST11001 	 フランス料理
RSFST11002 	 イタリアン
RSFST11002 	 イタリア料理
RSFST11003 	 パスタ
RSFST11004 	 ピザ
RSFST11005 	 ビストロ
RSFST13001 	 バイキング
RSFST13001 	 ビュッフェ
RSFST13003 	 洋食屋
RSFST13004 	 オムレツ
RSFST13004 	 オムライス
RSFST13005 	 スープ
